Add_SiGu,Add_Dong,Add_Bunji,Add_Ho,Add_Detail,Add_ZipNum,Lati,Longt,Facility,Open_year,F_Speed,SA_Voc,PSTN,Internet,TV,VoIP,BS_YN,Business_Sale
서울특별시 서초구,서초동,1411,10,래미안 리더스원 14층,6690,37.4974,127.0286,Ntopia,2021,500M,8,X,X,X,X,N,None
서울특별시 서초구,신원동,367,8,반포자이 23층,6765,37.4693,127.0415,FTTH,2020,1G,2,X,O,O,X,N,None
서울특별시 서초구,서초동,1461-23,4,반포리체 9층,6690,37.4977,127.0286,Ntopia,2021,10G,2,X,O,X,X,N,TV
서울특별시 서초구,서초동,1393,4,현대아파트 648동 1921호,6690,37.4955,127.0224,Ntopia,2015,1G,5,O,O,O,X,N,None
서울특별시 서초구,서초동,1500-8,5,양재타워 858동 2539호,6690,37.4906,127.0243,Ntopia,2022,500M,10,O,X,X,X,N,None
서울특별시 서초구,서초동,1335,4,현대아파트 374동 2395호,6690,37.4966,127.0249,Ntopia,2022,1G,2,O,X,O,O,N,None
서울특별시 서초구,신원동,372,9,반포자이 738동 2681호,6765,37.4653,127.0451,FTTH,2016,10G,9,O,O,O,O,N,None
서울특별시 서초구,내곡동,657,6,래미안 리더스원 22층,6800,37.459,127.0406,Ntopia,2021,500M,3,X,O,O,X,N,None
서울특별시 서초구,서초동,1473,1,롯데캐슬 프레지던트 197동 2738호,6690,37.4981,127.0256,FTTH,2022,10G,15,O,O,X,O,Y,TV
서울특별시 서초구,서초동,1369,10,내곡그린 152동 374호,6690,37.4918,127.021,FTTH,2023,500M,13,O,X,O,X,N,None
서울특별시 서초구,서초동,1418-11,4,롯데캐슬 프레지던트 463동 1979호,6690,37.4918,127.0249,Ntopia,2021,10G,8,O,O,X,O,N,TV
서울특별시 서초구,서초동,1357,4,방배그랑시티 240동 2609호,6690,37.4999,127.0216,Ntopia,2024,100M,14,X,X,O,X,N,None
서울특별시 서초구,서초동,1455,1,서초파크자이 16층,6690,37.498,127.021,Ntopia,2023,1G,3,X,X,O,O,N,None
서울특별시 서초구,잠원동,61,1,반포힐탑 381동 2988호,6510,37.5143,127.0067,Ntopia,2016,100M,9,X,O,X,O,N,TV
서울특별시 서초구,서초동,1442-17,4,서초빌딩 19층,6690,37.4963,127.0285,Ntopia,2019,500M,12,O,O,X,O,Y,TV
서울특별시 서초구,우면동,758,4,방배그랑시티 706동 315호,6762,37.4642,127.0209,Ntopia,2022,100M,6,O,X,X,X,N,None
서울특별시 서초구,양재동,309-23,1,현대아파트 22층,6747,37.4758,127.0369,FTTH,2017,500M,0,O,O,X,O,N,TV
서울특별시 서초구,반포동,88,2,신원센트럴 17층,6504,37.5061,126.9945,Ntopia,2021,1G,6,O,O,O,O,N,None
서울특별시 서초구,염곡동,136-21,2,양재스퀘어 866동 1963호,6766,37.4685,127.0388,FTTH,2024,500M,2,O,X,O,O,N,None
서울특별시 서초구,우면동,702,5,우면스카이 222동 456호,6762,37.4684,127.0289,Ntopia,2022,100M,11,O,O,O,O,Y,None
서울특별시 서초구,서초동,1438,8,잠원파크빌 392동 2147호,6690,37.4929,127.0244,Ntopia,2020,1G,6,X,X,O,O,N,None
서울특별시 서초구,서초동,1385-1,6,방배아트자이 202동 264호,6690,37.4907,127.0211,FTTH,2021,1G,10,O,O,O,X,Y,None
서울특별시 서초구,잠원동,95,10,방배그랑시티 3층,6510,37.5124,127.007,FTTH,2024,10G,10,X,O,X,O,N,TV
서울특별시 서초구,내곡동,613-15,10,염곡파인힐 5층,6800,37.4549,127.0466,FTTH,2023,500M,15,O,O,O,X,N,None
서울특별시 서초구,서초동,1376,3,서초타워 657동 987호,6690,37.4982,127.0267,FTTH,2021,10G,1,X,O,O,O,N,None
서울특별시 서초구,서초동,1429,10,방배로얄 522동 2281호,6690,37.497,127.025,Ntopia,2017,500M,9,X,O,O,X,N,None
서울특별시 서초구,염곡동,175-21,7,서초파크자이 12층,6766,37.4657,127.0378,Ntopia,2025,100M,2,O,X,O,O,N,None
서울특별시 서초구,서초동,1499-10,4,반포자이 637동 2437호,6690,37.4909,127.0236,Ntopia,2021,1G,11,X,O,X,O,Y,TV
서울특별시 서초구,내곡동,617,2,염곡파인힐 24층,6800,37.4512,127.0432,Ntopia,2017,100M,15,O,O,O,O,Y,None
서울특별시 서초구,서초동,1471,9,서초타워 806동 218호,6690,37.4901,127.025,Ntopia,2016,1G,1,O,X,O,O,N,None
서울특별시 서초구,내곡동,692-2,4,서초힐스 24층,6800,37.4584,127.0466,Ntopia,2024,500M,1,O,O,X,X,N,TV
서울특별시 서초구,내곡동,647,5,서초빌딩 17층,6800,37.4515,127.0472,Ntopia,2018,500M,11,O,X,O,X,N,None
서울특별시 서초구,염곡동,120-7,4,잠원파크빌 4층,6766,37.4672,127.034,Ntopia,2020,1G,8,X,O,O,X,N,None
서울특별시 서초구,서초동,1382,2,반포리체 864동 1559호,6690,37.4967,127.0295,FTTH,2024,1G,10,O,X,O,O,N,None
서울특별시 서초구,서초동,1493-25,10,현대아파트 28층,6690,37.4934,127.0299,Ntopia,2021,100M,10,X,O,X,O,Y,TV
서울특별시 서초구,방배동,977,9,서초로얄맨션 368동 337호,6692,37.4887,126.9947,Ntopia,2025,1G,11,O,X,X,O,N,None
서울특별시 서초구,염곡동,188,2,우면프라임 123동 2147호,6766,37.463,127.0369,FTTH,2020,1G,15,X,X,O,O,N,None
서울특별시 서초구,염곡동,180,8,강남오피스텔 821동 2767호,6766,37.4678,127.0318,Ntopia,2024,100M,13,O,O,O,O,N,None
서울특별시 서초구,서초동,1307,10,방배로얄 8층,6690,37.4993,127.0225,FTTH,2021,500M,6,O,O,O,X,N,None
서울특별시 서초구,서초동,1442-1-3,4,신원센트럴 27층,6690,37.4918,127.0273,Ntopia,2015,500M,8,O,O,O,O,N,None
서울특별시 서초구,양재동,318-22,8,방배센트럴파크 789동 2204호,6747,37.4747,127.0316,Ntopia,2020,10G,1,X,O,O,O,N,None
서울특별시 서초구,서초동,1472,5,현대아파트 243동 2007호,6690,37.4968,127.0225,Ntopia,2020,1G,5,X,X,X,O,N,None
서울특별시 서초구,서초동,1373-15,8,양재스퀘어 289동 1690호,6690,37.4975,127.021,Ntopia,2020,1G,4,X,O,O,O,N,None
서울특별시 서초구,방배동,959,6,반포힐탑 408동 1761호,6692,37.4877,126.9903,FTTH,2018,1G,9,O,X,X,X,N,None
서울특별시 서초구,내곡동,675,3,방배센트럴파크 341동 1408호,6800,37.4575,127.0426,FTTH,2022,100M,4,X,O,X,O,N,TV
서울특별시 서초구,내곡동,627-1-4,7,롯데캐슬 프레지던트 172동 1086호,6800,37.4512,127.0451,FTTH,2019,1G,6,O,X,X,O,N,None
서울특별시 서초구,반포동,74,7,삼성아파트 27층,6504,37.5011,126.9982,Ntopia,2019,500M,11,O,O,O,O,Y,None
서울특별시 서초구,서초동,1447,8,신원로얄 288동 1360호,6690,37.4979,127.0276,FTTH,2019,100M,2,X,X,X,X,N,None
서울특별시 서초구,서초동,1486-12,2,서초힐스 18층,6690,37.4907,127.0273,FTTH,2017,500M,7,O,O,O,X,N,None
서울특별시 서초구,양재동,258,4,반포리체 767동 2309호,6747,37.4762,127.0334,Ntopia,2015,500M,3,X,X,O,X,N,None
서울특별시 서초구,우면동,722,2,신원로얄 4층,6762,37.4685,127.0215,Ntopia,2025,500M,9,O,X,O,O,N,None
서울특별시 서초구,서초동,1326-15,3,서초파크자이 18층,6690,37.4905,127.0275,Ntopia,2019,100M,5,O,X,X,X,N,None
서울특별시 서초구,잠원동,136-1,7,강남오피스텔 2층,6510,37.5175,127.0052,Ntopia,2019,100M,0,X,O,O,O,N,None
서울특별시 서초구,서초동,1360,2,우면프라임 544동 2852호,6690,37.4998,127.0208,Ntopia,2015,1G,8,X,O,O,O,N,None
서울특별시 서초구,우면동,766,6,강남오피스텔 20층,6762,37.4632,127.0267,FTTH,2016,100M,0,O,X,X,O,N,None
서울특별시 서초구,반포동,80,1,현대아파트 7층,6504,37.5044,126.9963,Ntopia,2017,100M,4,O,O,O,O,N,None
서울특별시 서초구,우면동,791-2-5,3,신원로얄 13층,6762,37.469,127.0288,FTTH,2019,100M,14,X,X,X,X,N,None
서울특별시 서초구,염곡동,188,10,방배그랑시티 29층,6766,37.4672,127.0311,FTTH,2018,100M,6,X,O,O,O,N,None
서울특별시 서초구,서초동,1419-24-1,4,양재스퀘어 687동 443호,6690,37.4955,127.0244,Ntopia,2022,100M,12,X,O,X,O,Y,TV
서울특별시 서초구,서초동,1423,10,반포힐탑 561동 2896호,6690,37.49,127.0247,FTTH,2023,500M,10,X,O,X,O,N,TV
서울특별시 서초구,서초동,1425-4-4,5,현대아파트 779동 140호,6690,37.4955,127.0254,FTTH,2022,1G,10,O,O,O,O,Y,None
서울특별시 서초구,서초동,1496,6,반포자이 249동 305호,6690,37.4994,127.0248,Ntopia,2015,1G,7,X,O,O,X,N,None
서울특별시 서초구,잠원동,107-25,8,방배그랑시티 29층,6510,37.5111,127.0095,FTTH,2021,10G,13,O,O,O,O,Y,None
서울특별시 서초구,방배동,808-6,1,서초타워 22층,6692,37.4845,126.9907,Ntopia,2017,500M,14,O,X,X,X,N,None
서울특별시 서초구,서초동,1345-13,1,우면프라임 484동 276호,6690,37.4954,127.0259,Ntopia,2023,500M,11,X,X,O,O,N,None
서울특별시 서초구,잠원동,96,9,롯데캐슬 프레지던트 261동 147호,6510,37.5193,127.008,FTTH,2024,1G,14,O,O,X,X,N,TV
서울특별시 서초구,서초동,1436-25,5,반포힐탑 6층,6690,37.4996,127.023,FTTH,2015,1G,12,O,X,X,X,N,None
서울특별시 서초구,서초동,1390,4,신원로얄 860동 1982호,6690,37.4999,127.0239,FTTH,2016,500M,3,O,O,O,O,N,None
서울특별시 서초구,방배동,944,5,래미안 리더스원 19층,6692,37.4859,126.9914,Ntopia,2016,500M,1,O,O,O,X,N,None
서울특별시 서초구,방배동,1000-12,7,양재스퀘어 27층,6692,37.4886,126.9922,FTTH,2018,500M,11,X,X,X,O,N,None
서울특별시 서초구,서초동,1379,10,양재스퀘어 9층,6690,37.4951,127.0278,FTTH,2019,500M,9,X,X,O,O,N,None
서울특별시 서초구,우면동,707,3,현대아파트 161동 1747호,6762,37.4619,127.0269,FTTH,2018,1G,14,X,X,O,X,N,None
서울특별시 서초구,서초동,1380,7,서초힐스 13층,6690,37.4942,127.0295,Ntopia,2015,1G,0,X,O,O,O,N,None
서울특별시 서초구,양재동,380,8,잠원롯데캐슬 24층,6747,37.4736,127.0314,FTTH,2022,10G,10,O,O,X,O,Y,TV
서울특별시 서초구,반포동,75,6,서초로얄맨션 490동 1222호,6504,37.5058,126.9975,Ntopia,2024,100M,3,O,X,X,O,N,None
서울특별시 서초구,양재동,328-27,2,염곡힐스테이트 24층,6747,37.4704,127.0357,FTTH,2017,500M,2,O,X,O,O,N,None
서울특별시 서초구,양재동,304,3,신원센트럴 27층,6747,37.4745,127.0365,Ntopia,2025,500M,15,O,O,O,O,N,None
서울특별시 서초구,우면동,704-6-3,10,내곡휴먼빌 526동 1004호,6762,37.4696,127.026,FTTH,2024,1G,2,X,O,O,O,N,None
서울특별시 서초구,서초동,1372-9-5,5,방배센트럴파크 29층,6690,37.4943,127.0254,Ntopia,2020,1G,3,X,O,X,O,N,TV
서울특별시 서초구,방배동,899,2,양재타워 21층,6692,37.4839,126.993,FTTH,2024,500M,9,O,O,O,X,N,None
서울특별시 서초구,반포동,38,8,반포리체 672동 1062호,6504,37.502,126.9902,Ntopia,2019,100M,10,O,O,O,X,Y,None
서울특별시 서초구,우면동,776-19,3,서초파크자이 6층,6762,37.463,127.0256,Ntopia,2022,500M,12,O,X,X,X,N,None
서울특별시 서초구,서초동,1413,10,신원로얄 24층,6690,37.4998,127.022,Ntopia,2016,1G,15,O,X,O,O,N,None
서울특별시 서초구,서초동,1320,3,반포리체 401동 1676호,6690,37.4937,127.0264,Ntopia,2016,100M,13,X,O,O,X,Y,None
서울특별시 서초구,서초동,1494,10,서초힐스 883동 2377호,6690,37.4919,127.0239,Ntopia,2020,1G,1,O,O,O,X,N,None
서울특별시 서초구,서초동,1338,3,롯데캐슬 프레지던트 771동 1742호,6690,37.4943,127.0237,FTTH,2015,100M,2,O,O,X,O,N,TV
서울특별시 서초구,서초동,1351-5,8,서초그랑자이 25층,6690,37.4937,127.0292,Ntopia,2024,1G,7,O,O,X,X,N,TV
서울특별시 서초구,반포동,16,1,반포센트럴 27층,6504,37.5034,126.9955,FTTH,2015,500M,7,X,X,O,X,N,None
서울특별시 서초구,우면동,720-29-4,2,삼성아파트 15층,6762,37.4631,127.0275,FTTH,2024,1G,8,X,X,O,X,N,None
서울특별시 서초구,서초동,1419,3,현대아파트 22층,6690,37.4905,127.0255,FTTH,2025,1G,0,X,X,X,O,N,None
서울특별시 서초구,서초동,1306,2,염곡힐스테이트 333동 2103호,6690,37.4944,127.0206,FTTH,2019,1G,0,O,O,X,O,N,TV
서울특별시 서초구,서초동,1446,9,양재파크뷰 12층,6690,37.4944,127.028,FTTH,2015,1G,4,O,O,O,X,N,None
서울특별시 서초구,서초동,1306-3,9,반포자이 22층,6690,37.4974,127.03,Ntopia,2016,100M,3,O,O,O,O,N,None
서울특별시 서초구,서초동,1464,1,방배센트럴파크 216동 1555호,6690,37.4913,127.0213,Ntopia,2019,1G,9,X,X,O,X,N,None
서울특별시 서초구,서초동,1335,6,반포자이 593동 192호,6690,37.4978,127.0209,FTTH,2025,1G,9,O,O,O,O,N,None
서울특별시 서초구,서초동,1462,7,양재파크뷰 2층,6690,37.4992,127.0289,FTTH,2015,10G,6,O,X,O,O,N,None
서울특별시 서초구,염곡동,174-26,5,우면프라임 25층,6766,37.4698,127.0338,Ntopia,2023,500M,8,O,O,X,O,N,TV
서울특별시 서초구,우면동,777,9,서초타워 30층,6762,37.4693,127.0278,Ntopia,2025,500M,13,O,X,O,X,N,None
서울특별시 서초구,서초동,1392,1,서초타워 22층,6690,37.4974,127.0214,FTTH,2022,1G,5,X,X,O,X,N,None
서울특별시 서초구,우면동,715,3,서초그랑자이 515동 2738호,6762,37.4648,127.0253,Ntopia,2019,500M,15,O,X,X,X,N,None
서울특별시 서초구,우면동,704-22,10,내곡그린 410동 2675호,6762,37.4625,127.0249,Ntopia,2018,500M,9,O,O,O,O,N,None
서울특별시 서초구,내곡동,625,3,잠원파크빌 390동 1758호,6800,37.4553,127.0496,Ntopia,2021,10G,0,X,X,X,O,N,None
서울특별시 서초구,서초동,1339,3,염곡힐스테이트 24층,6690,37.4936,127.0236,Ntopia,2017,100M,12,O,O,X,X,Y,TV
서울특별시 서초구,우면동,779,6,내곡그린 293동 627호,6762,37.4622,127.0261,FTTH,2017,100M,15,O,X,X,O,N,None
서울특별시 서초구,서초동,1438-10,5,서초로얄맨션 3층,6690,37.4954,127.0292,FTTH,2020,500M,6,O,X,X,O,N,None
서울특별시 서초구,염곡동,194,1,우면프라임 715동 343호,6766,37.4678,127.0308,Ntopia,2018,1G,5,O,O,X,X,N,TV
서울특별시 서초구,서초동,1310,10,서초파크자이 22층,6690,37.494,127.0215,FTTH,2021,1G,14,O,X,X,X,N,None
서울특별시 서초구,서초동,1383,6,방배센트럴파크 13층,6690,37.4978,127.0227,Ntopia,2024,1G,5,O,X,O,O,N,None
서울특별시 서초구,우면동,758,5,반포리체 20층,6762,37.4661,127.0219,Ntopia,2017,100M,12,O,O,X,O,Y,TV
서울특별시 서초구,서초동,1419,3,래미안 리더스원 113동 2324호,6690,37.4939,127.0272,Ntopia,2015,100M,2,O,X,O,X,N,None
서울특별시 서초구,서초동,1473,1,반포힐탑 1층,6690,37.4994,127.0203,FTTH,2024,500M,14,O,O,O,O,N,None
서울특별시 서초구,반포동,8,8,반포힐탑 23층,6504,37.5058,126.9939,FTTH,2018,500M,12,O,O,X,X,Y,TV
서울특별시 서초구,우면동,732-7-5,6,잠원파크빌 471동 1324호,6762,37.4673,127.0204,FTTH,2022,1G,11,O,O,O,X,Y,None
서울특별시 서초구,내곡동,678-16,10,반포자이 590동 2238호,6800,37.4501,127.0437,Ntopia,2019,1G,2,O,X,X,O,N,None
서울특별시 서초구,서초동,1301,1,염곡힐스테이트 8층,6690,37.4924,127.0229,Ntopia,2024,1G,4,O,X,X,X,N,None
서울특별시 서초구,서초동,1332,10,서초타워 16층,6690,37.4939,127.0228,FTTH,2023,100M,10,O,X,X,X,N,None
서울특별시 서초구,서초동,1458-22,6,롯데캐슬 프레지던트 435동 2617호,6690,37.4927,127.0263,FTTH,2018,100M,5,O,O,O,O,N,None
서울특별시 서초구,잠원동,80,9,방배그랑시티 883동 1564호,6510,37.5102,127.0074,FTTH,2015,500M,6,O,X,O,X,N,None
서울특별시 서초구,양재동,274,6,신원로얄 7층,6747,37.4753,127.0371,FTTH,2016,1G,1,O,X,O,X,N,None
서울특별시 서초구,서초동,1430,1,양재타워 11층,6690,37.4949,127.0224,Ntopia,2019,100M,4,O,O,O,O,N,None
서울특별시 서초구,서초동,1350,10,내곡그린 22층,6690,37.4974,127.0243,FTTH,2019,500M,13,O,O,O,O,Y,None
서울특별시 서초구,서초동,1491-14-5,8,신원센트럴 7층,6690,37.4955,127.0238,Ntopia,2019,100M,11,O,O,X,X,Y,TV
서울특별시 서초구,잠원동,145,6,양재타워 5층,6510,37.5197,127.0037,FTTH,2021,100M,15,O,X,X,X,N,None
서울특별시 서초구,서초동,1340,6,신원센트럴 558동 1405호,6690,37.4935,127.0264,FTTH,2019,1G,6,O,O,X,O,N,TV
서울특별시 서초구,서초동,1337,10,방배그랑시티 715동 2068호,6690,37.4966,127.0203,Ntopia,2022,1G,7,X,O,O,O,N,None
서울특별시 서초구,서초동,1418,4,염곡파인힐 710동 687호,6690,37.4953,127.025,Ntopia,2016,500M,4,O,X,O,O,N,None
서울특별시 서초구,염곡동,133,4,강남오피스텔 396동 1527호,6766,37.4675,127.0356,Ntopia,2021,100M,13,X,X,X,O,N,None
서울특별시 서초구,서초동,1379,4,현대아파트 853동 2942호,6690,37.492,127.0259,FTTH,2022,100M,13,X,O,X,X,Y,TV
서울특별시 서초구,서초동,1338,8,래미안 리더스원 2층,6690,37.4929,127.027,FTTH,2022,1G,5,O,X,O,O,N,None
서울특별시 서초구,신원동,340,5,신원로얄 353동 464호,6765,37.4649,127.0445,FTTH,2024,1G,3,O,O,X,O,N,TV
서울특별시 서초구,서초동,1304,9,현대아파트 412동 2282호,6690,37.4909,127.0209,Ntopia,2025,500M,8,O,X,O,O,N,None
서울특별시 서초구,방배동,990-10-2,1,롯데캐슬 프레지던트 263동 1058호,6692,37.4883,126.9916,FTTH,2023,500M,11,O,X,O,X,N,None
서울특별시 서초구,서초동,1374,2,방배로얄 498동 236호,6690,37.4915,127.0266,Ntopia,2016,100M,13,O,X,O,O,N,None
서울특별시 서초구,잠원동,Apr-82,5,우면프라임 128동 2030호,6510,37.5131,127.001,Ntopia,2025,500M,2,O,O,O,O,N,None
서울특별시 서초구,서초동,1476,1,양재스퀘어 6층,6690,37.4923,127.0258,Ntopia,2019,1G,8,O,X,X,O,N,None
서울특별시 서초구,서초동,1493,8,서초빌딩 173동 1753호,6690,37.4992,127.0204,FTTH,2022,1G,9,O,O,X,X,N,TV
서울특별시 서초구,염곡동,112,3,방배아트자이 294동 1376호,6766,37.4629,127.0331,Ntopia,2019,100M,9,X,X,X,X,N,None
서울특별시 서초구,양재동,242,2,반포센트럴 18층,6747,37.4719,127.0346,FTTH,2021,1G,6,O,X,O,O,N,None
서울특별시 서초구,내곡동,660,3,염곡파인힐 335동 2454호,6800,37.4569,127.0446,FTTH,2017,1G,3,O,O,O,O,N,None
서울특별시 서초구,서초동,1391,10,잠원롯데캐슬 9층,6690,37.4921,127.0231,Ntopia,2025,1G,13,O,O,X,X,N,TV
서울특별시 서초구,서초동,1378,8,강남오피스텔 1층,6690,37.4911,127.0283,FTTH,2022,1G,6,X,O,O,O,N,None
서울특별시 서초구,서초동,1303-23,10,내곡그린 142동 1946호,6690,37.4926,127.0291,FTTH,2024,100M,5,X,X,O,O,N,None
서울특별시 서초구,서초동,1410-22,2,신원로얄 344동 1749호,6690,37.4958,127.0256,Ntopia,2017,100M,13,O,O,O,O,Y,None
서울특별시 서초구,잠원동,117,3,서초그랑자이 12층,6510,37.5173,127.0088,Ntopia,2024,1G,14,X,O,X,X,N,TV
서울특별시 서초구,우면동,796,9,양재스퀘어 8층,6762,37.4694,127.0288,Ntopia,2020,1G,15,O,O,O,O,Y,None
